type,sent_id,verb_id,verb,tran,aspect,sentence,obj_mentioned,number,imp,neg,combination,variant
target,1,1,просить,tran,imperf,"Петя постоянно просит о помощи, даже если может всё сделать сам.",0,sg,0,0,1,1
target,2,1,просить,tran,imperf,"Петя никогда не просит о помощи, если может всё сделать сам.",0,sg,0,1,2,2
target,3,1,просить,tran,imperf,"Лучше почаще проси о помощи, не мучайся сам!",0,sg,1,0,3,3
target,4,1,просить,tran,imperf,"Никогда не проси о помощи, лучше делай всё сам!",0,sg,1,1,4,4
target,5,2,строить,tran,imperf,"На таких территориях часто строят, они отлично для этого подходят.",0,pl,0,0,1,1
target,6,2,строить,tran,imperf,"Обычно на таких территориях не строят, это слишком рискованно.",0,pl,0,1,2,2
target,7,2,строить,tran,imperf,"Стройте здесь, эта территория отлично для этого подходит.",0,pl,1,0,3,3
target,8,2,строить,tran,imperf,"Не стройте здесь, это частная территория.",0,pl,1,1,4,4
target,9,3,брать,tran,imperf,"Когда мне предлагают шоколадки, я обычно беру.",1,sg,0,0,1,1
target,10,3,брать,tran,imperf,"Когда мне предлагают шоколадки, я никогда не беру.",1,sg,0,1,2,2
target,11,3,брать,tran,imperf,"Если он предложит тебе шоколадку, бери.",1,sg,1,0,3,3
target,12,3,брать,tran,imperf,"Если он предложит тебе шоколадку, не бери.",1,sg,1,1,4,4
target,13,4,звать,tran,imperf,"Извини, я уже пойду, зовут.",1,pl,0,0,1,1
target,14,4,звать,tran,imperf,"Я бы с радостью сходила в кино, но не зовут.",1,pl,0,1,2,2
target,15,4,звать,tran,imperf,"Если вдруг я понадоблюсь, зовите.",1,pl,1,0,3,3
target,16,4,звать,tran,imperf,"Не зовите, я всё равно не услышу.",1,pl,1,1,4,4
target,17,5,кусать,tran,imperf,"Эта змея, к сожалению, иногда кусает без причины.",0,sg,0,0,1,2
target,18,5,кусать,tran,imperf,Змея ведь не кусает без причины.,0,sg,0,1,2,3
target,19,5,кусать,tran,imperf,"Кусай, не жди, пока остынет.",0,sg,1,0,3,4
target,20,5,кусать,tran,imperf,"Не кусай, подожди, пока остынет.",0,sg,1,1,4,1
target,21,6,объяснять,tran,imperf,"Ему постоянно объясняют, но он не слушает.",0,pl,0,0,1,2
target,22,6,объяснять,tran,imperf,"Ему просто не объясняют, а то бы он слушал.",0,pl,0,1,2,3
target,23,6,объяснять,tran,imperf,"Объясняйте ему сами, меня он не слушает.",0,pl,1,0,3,4
target,24,6,объяснять,tran,imperf,"Не объясняйте ему, он всё равно не слушает.",0,pl,1,1,4,1
target,25,7,искать,tran,imperf,"Я сказала ему, что мы не можем уехать без флешки, он теперь ищет.",1,sg,0,0,1,2
target,26,7,искать,tran,imperf,"Мы ведь не можем уехать без флешки, не понимаю, почему он не ищет.",1,sg,0,1,2,3
target,27,7,искать,tran,imperf,"Мы не можем уехать без флешки, ищи.",1,sg,1,0,3,4
target,28,7,искать,tran,imperf,"Мы можем уехать и без флешки, не ищи.",1,sg,1,1,4,1
target,29,8,делать,tran,imperf,"Иногда те студенты, которые не сделали домашку сразу, делают на каникулах.",1,pl,0,0,1,2
target,30,8,делать,tran,imperf,"Те студенты, которые не сделали домашку сразу, не делают и на каникулах.",1,pl,0,1,2,3
target,31,8,делать,tran,imperf,"Если вы еще не сделали домашку, делайте скорее, она сложная.",1,pl,1,0,3,4
target,32,8,делать,tran,imperf,"Если вы еще не сделали домашку, не делайте, она слишком сложная.",1,pl,1,1,4,1
target,33,9,пережёвывать,tran,imperf,"Я всегда пережёвываю, никогда не глотаю так.",0,sg,0,0,1,3
target,34,9,пережёвывать,tran,imperf,"Я никогда не пережёвываю, просто глотаю так.",0,sg,0,1,2,4
target,35,9,пережёвывать,tran,imperf,"Пережёвывай, не глотай так.",0,sg,1,0,3,1
target,36,9,пережёвывать,tran,imperf,"Не пережёвывай, глотай так.",0,sg,1,1,4,2
target,37,10,произносить,tran,imperf,"Они постоянно произносят вслух и не боятся, что их кто-то услышит.",0,pl,0,0,1,3
target,38,10,произносить,tran,imperf,"Они обычно не произносят вслух, потому что боятся, что их кто-то услышит.",0,pl,0,1,2,4
target,39,10,произносить,tran,imperf,"Если хотите, произносите вслух, никто вас всё равно не услышит!",0,pl,1,0,3,1
target,40,10,произносить,tran,imperf,"Ни в коем случае не произносите вслух, вас услышат!",0,pl,1,1,4,2
target,41,11,украшать,tran,imperf,"Мы вчера поставили ёлку, Вася уже украшает.",1,sg,0,0,1,3
target,42,11,украшать,tran,imperf,"Мы вчера поставили ёлку, но Вася пока не украшает.",1,sg,0,1,2,4
target,43,11,украшать,tran,imperf,"Мы уже поставили ёлку, украшай.",1,sg,1,0,3,1
target,44,11,украшать,tran,imperf,"Мы уже поставили ёлку, но подожди, пока не украшай.",1,sg,1,1,4,2
target,45,12,выпускать,tran,imperf,"Поводок надо держать крепче, а они постоянно выпускают из рук.",1,pl,0,0,1,3
target,46,12,выпускать,tran,imperf,"Они всегда держат поводок крепко, никогда не выпускают из рук.",1,pl,0,1,2,4
target,47,12,выпускать,tran,imperf,"Не держите поводок так крепко, спокойно выпускайте из рук.",1,pl,1,0,3,1
target,48,12,выпускать,tran,imperf,"Держите поводок крепче, ни в коем случае не выпускайте из рук!",1,pl,1,1,4,2
target,49,13,закрывать,tran,imperf,Обычно он закрывает и не держит открытым.,0,sg,0,0,1,4
target,50,13,закрывать,tran,imperf,"Он никогда не закрывает, постоянно держит открытым.",0,sg,0,1,2,1
target,51,13,закрывать,tran,imperf,"Закрывай, нельзя держать открытым.",0,sg,1,0,3,2
target,52,13,закрывать,tran,imperf,"Не закрывай, подержи какое-то время открытым.",0,sg,1,1,4,3
target,53,14,класть,tran,imperf,"Они обычно кладут сюда, когда тут не занято.",0,pl,0,0,1,4
target,54,14,класть,tran,imperf,"Они никогда не кладут сюда, тут всегда занято.",0,pl,0,1,2,1
target,55,14,класть,tran,imperf,"Кладите сюда, тут чисто.",0,pl,1,0,3,2
target,56,14,класть,tran,imperf,"Не кладите сюда, тут грязно.",0,pl,1,1,4,3
target,57,15,печь,tran,imperf,"Я очень люблю пироги, мама постоянно печёт.",1,sg,0,0,1,4
target,58,15,печь,tran,imperf,"Я очень люблю пироги, но мама никогда не печёт.",1,sg,0,1,2,1
target,59,15,печь,tran,imperf,"Я очень люблю пироги, пеки почаще.",1,sg,1,0,3,2
target,60,15,печь,tran,imperf,"Я не люблю пироги, так что не пеки.",1,sg,1,1,4,3
target,61,16,ловить,tran,imperf,"Здесь водится много рыбы, профессиональные рыбаки постоянно ловят здесь.",1,pl,0,0,1,4
target,62,16,ловить,tran,imperf,"Здесь водится мало рыбы, профессиональные рыбаки никогда не ловят здесь.",1,pl,0,1,2,1
target,63,16,ловить,tran,imperf,"Здесь водится много рыбы, ловите здесь.",1,pl,1,0,3,2
target,64,16,ловить,tran,imperf,"Здесь водится мало рыбы, не ловите здесь.",1,pl,1,1,4,3
